term,sum_sq,df,F,p_value,pct_of_model_ss,pct_of_total_ss
ncp_rachel,0.08230607015301104,1,2.313149965449007,0.13726766947134564,4.660390389080308,2.7331132233222886
vol_62,0.0796136849730862,1,2.237482512558344,0.14366354285529026,4.507940320781611,2.643707988400374
vol_63,0.07904266586937317,1,2.221434451734045,0.1450644132794944,4.475607687988206,2.6247463266392623
vol_134_part_2,0.07844815689245484,1,2.204726225756773,0.14653993935374346,4.441944995587738,2.6050046436360694
vol_61,0.0783217890228374,1,2.2011747521814216,0.14685583717247822,4.4347897079648595,2.6008083833260778
vol_131,0.07828948993663103,1,2.2002670107474858,0.14693670736267936,4.432960847096488,2.5997358371645642
ncp_alia,0.07814701615276719,1,2.1962628926112493,0.14729405583132735,4.4248935994222816,2.595004752544303
ncp_leah,0.07786553433533924,1,2.188352058634514,0.1480030606752776,4.408955344148967,2.585657669444516
vol_133,0.07717609398057944,1,2.1689758579505667,0.1497566299335744,4.369917382584364,2.5627636283758197
vol_132,0.07691264486387876,1,2.161571819414152,0.15043313958532623,4.355000187179444,2.554015351812638
vol_134_part_i,0.07383995570327746,1,2.0752162102535263,0.158595243411789,4.181016287740726,2.451981475570143
vol_127,0.07047865134596794,1,1.9807492888767724,0.16813084979155507,3.990690221966269,2.3403636402210033
vol_126,0.06956436318014575,1,1.955053910209678,0.17084134337715057,3.9389207744282406,2.310003144679299
ncp_bridget,0.06746697023337292,1,1.8961082648479055,0.17725870214028272,3.820160761793774,2.2403556401067823
vol_109,0.0636111078859672,1,1.787742164521448,0.18982727136737268,3.60183149650314,2.1123151644843468
vol_130,0.062142380209986775,1,1.7464646819903025,0.19489565695268676,3.518668197215608,2.063543560819891
vol_93,0.055107214121894704,1,1.5487466502176137,0.22158997372057473,3.1203182290835367,1.82992889026294
vol_120,0.05440755033747453,1,1.5290831277611447,0.22448392905428569,3.080701389518271,1.8066953628022862
vol_122,0.054234927436842065,1,1.524231691458921,0.22520512676757748,3.0709270180102264,1.8009631254170027
vol_91,0.05403720579049704,1,1.5186748738565101,0.2260347207674572,3.0597314882196964,1.7943974414381902
vol_124,0.04859489634062377,1,1.3657228753886714,0.25044655095932133,2.751573334058785,1.6136762881233964
ncp_brian,0.048340224767693465,1,1.3585655230933982,0.2516683063393119,2.737153146718412,1.6052194848489099
is_leah,0.04808923694085529,1,1.3515116997010344,0.2528797964536609,2.7229415429594392,1.5968850066366822
is_bridget,0.04707222925796552,1,1.3229294665538989,0.25786534127183414,2.665355840931034,1.5631135346035872
is_alia,0.04665400638018627,1,1.311175628307381,0.2599518649202028,2.641674940160623,1.549225731730368
is_rachel,0.04303023394970975,1,1.2093322398820963,0.27897111175122374,2.436487228296711,1.4288921970392596
vol_94,0.024688119476841842,1,0.6938409598306946,0.41050928763029704,1.3979075239583765,0.8198110500923789
vol_114,0.02040024881129722,1,0.5733335918636006,0.45400486941663204,1.1551167892996341,0.6774250025735371
vol_119,0.014126900356065456,1,0.39702586953532143,0.5327216983282684,0.7999029782919858,0.46910778386017193
is_brian,0.014067160527501886,1,0.3953469267535697,0.5335844843459694,0.7965203490112366,0.4671240211182191
