term,coef,std_err,t,p_value,ci_low,ci_high,significance
is_alia,0.47834082616710005,0.12048394851063457,3.9701622670913634,0.0003403188421310748,0.2337454070687547,0.7229362452654454,***
ncp_alia,0.0006398808186160315,0.006625605761261598,0.09657695336436532,0.9236132606078897,-0.012810813966782287,0.01409057560401435,
is_brian,0.4662257104889411,0.07985259796761277,5.838579111452787,1.2600470545342135e-06,0.30411631826350327,0.628335102714379,***
ncp_brian,0.002720370159763022,0.006837108325824867,0.39788314447026424,0.693132890587329,-0.011159697658800469,0.016600437978326513,
is_bridget,0.48706121879243014,0.1199018258338438,4.0621668219413465,0.00026071078575198,0.24364757155545205,0.7304748660294083,***
ncp_bridget,-0.00020309118395318848,0.007219902135666949,-0.028129354129317104,0.9777187662852281,-0.014860271750762245,0.014454089382855868,
is_leah,0.48692540206895196,0.11370914236665432,4.282200990478536,0.00013697509905772977,0.25608357063586007,0.7177672335020439,***
ncp_leah,-0.0004968909678686462,0.007348621818216404,-0.06761689200509809,0.9464754144126307,-0.015415386382743219,0.014421604447005926,
is_rachel,0.48582241834727813,0.11940163504209951,4.068808757735883,0.0002557270389628754,0.24342421240225795,0.7282206242922983,***
ncp_rachel,0.00038053761095194205,0.005791490372961753,0.0657063357522834,0.9479855143225715,-0.011376812911583248,0.012137888133487132,
vol_109,-0.0027373931791665473,0.08037470194379474,-0.03405789524520763,0.9730244794137632,-0.1659067128260225,0.16043192646768942,
vol_114,-0.03203216054020608,0.06769185068760605,-0.473205566324854,0.6390046346137297,-0.16945392329905357,0.10538960221864141,
vol_119,-0.02643964885436978,0.0550037476146274,-0.4806881349178935,0.6337293597286774,-0.13810319297030577,0.0852238952615662,
vol_120,0.008473329172114852,0.141079264286129,0.06006076949004869,0.9524488766165157,-0.27793280376688106,0.29487946211111077,
vol_122,0.011806662505448706,0.14107926428612907,0.08368814910675387,0.9337812169944208,-0.2745994704335474,0.2982127954444448,
vol_124,-0.007678358089621584,0.09414440251611529,-0.08155936927112827,0.9354617399234776,-0.19880165603797878,0.1834449398587356,
vol_126,-0.02590520983534228,0.10686891412906491,-0.24240173156486575,0.8098837410626515,-0.24286063969226204,0.19105022002157748,
vol_127,0.008792921952800903,0.11867402234800012,0.07409306416712251,0.9413581866256623,-0.2321281516932325,0.2497139955988343,
vol_130,0.0352127834348992,0.14642118932442136,0.24048966954420245,0.8113537860339415,-0.2620380338764531,0.3324636007462515,
vol_131,0.024205103780163384,0.15376542106843177,0.15741578055700275,0.8758218154759987,-0.2879552966216123,0.33636550418193906,
vol_132,0.02436532191903673,0.16713559283693802,0.14578176620229658,0.8849300478027882,-0.3149379701920524,0.36366861403012585,
vol_133,0.0319721396317183,0.22668183252291893,0.14104412019205695,0.888643759609738,-0.42821644576337586,0.49216072502681246,
vol_134_part_2,0.03092506731212019,0.23643698831674467,0.13079623257039283,0.896685418507192,-0.44906753720133685,0.5109176718255772,
vol_134_part_i,0.02675508176734942,0.19085701183658432,0.14018390788941865,0.8893183328212276,-0.36070525112426993,0.4142154146589688,
vol_61,0.03035618555043884,0.21345793827829668,0.14221155603434077,0.8877283982442157,-0.4029864672963036,0.4636988383971813,
vol_62,0.029525540057910415,0.18051448887286192,0.16356326986420205,0.8710158045251207,-0.3369383549669449,0.39598943508276574,
vol_63,0.030356185550440173,0.21345793827829676,0.14221155603434696,0.8877283982442109,-0.40298646729630244,0.4636988383971828,
vol_91,-0.015646197549415874,0.028919327591774284,-0.541029092041069,0.5919146596820776,-0.07435555377314575,0.043063158674314,
vol_93,-0.01953638843090555,0.04238345046530637,-0.4609437933067144,0.6476905317312193,-0.1055793672471297,0.0665065903853186,
vol_94,-0.041632144785306274,0.0185291115795424,-2.2468505630497386,0.031058201361808643,-0.07924824110637053,-0.004016048464242014,*
