term,sum_sq,df,F,p_value,pct_of_model_ss,pct_of_total_ss
is_brian,0.008374341296476144,1,34.08900604069281,1.2600470545342233e-06,31.639754123091134,23.88171025734334
is_leah,0.00450474709023463,1,18.337245322855356,0.00013697509905772934,17.01973746660039,12.846510666679322
is_rachel,0.004066969106819549,1,16.555204707028217,0.0002557270389628754,15.365734212447817,11.598067763908885
is_bridget,0.0040537020787479875,1,16.501199289281058,0.00026071078575198,15.315609015579499,11.56023322753593
is_alia,0.003872155888317697,1,15.762188427036033,0.0003403188421310748,14.629695147987867,11.042504923340221
vol_94,0.0012401799207061998,1,5.048337452676927,0.031058201361808643,4.685620799339797,3.5367101106499392
vol_91,7.190805719662666e-05,1,0.2927124784347835,0.5919146596820776,0.2716814575168805,0.20506536888590046
vol_119,5.6762710167945165e-05,1,0.23106108305084294,0.6337293597286774,0.21445963682299346,0.1618742955010497
vol_114,5.500928592827375e-05,1,0.22392350800082578,0.6390046346137298,0.2078348875021106,0.15687392972091893
vol_93,5.2195403735222335e-05,1,0.21246918058798306,0.6476905317312193,0.19720353900942922,0.1488493798663496
ncp_brian,3.889084696043945e-05,1,0.15831099665354517,0.693132890587329,0.14693655201094485,0.11090782019628458
vol_126,1.4434699722276019e-05,1,0.05875859946564524,0.8098837410626515,0.054536868499215005,0.04116446944480373
vol_130,1.4207876369649277e-05,1,0.0578352811574797,0.8113537860339415,0.05367988944230635,0.040517621006788615
vol_62,6.572156348066546e-06,1,0.02675294324866979,0.8710158045251207,0.0248307781531233,0.018742290063641198
vol_131,6.087414194278809e-06,1,0.02477972796837044,0.8758218154759988,0.022999335892059092,0.017359916064727327
vol_132,5.2208682448132735e-06,1,0.021252323357061058,0.8849300478027882,0.019725370835370144,0.01488872477252163
vol_63,4.968280358575003e-06,1,0.020224126669710202,0.8877283982442109,0.01877104877801465,0.01416840176440689
vol_61,4.9682803585745726e-06,1,0.02022412666970845,0.8877283982442157,0.018771048778013024,0.014168401764405664
vol_133,4.887044464888942e-06,1,0.019893443840751406,0.888643759609738,0.018464125091577594,0.013936735534571811
vol_134_part_i,4.82761517111002e-06,1,0.019651528031149012,0.8893183328212276,0.01823959062656059,0.01376725675115705
vol_134_part_2,4.202684496404831e-06,1,0.017107654454608295,0.8966854185071919,0.0158784911452235,0.011985097083206156
ncp_alia,2.291307201725862e-06,1,0.009327107921142793,0.9236132606078897,0.008656967027792402,0.006534285236882698
vol_122,1.7205379011087332e-06,1,0.0070037063009142685,0.933781216994421,0.006500498871886966,0.004906581447587585
vol_124,1.6341203386510664e-06,1,0.0066519307159042616,0.9354617399234776,0.006173997917211523,0.004660138280931803
vol_127,1.3486256940663607e-06,1,0.005489782157673333,0.9413581866256623,0.005095348261277344,0.00384597270771064
ncp_leah,1.1231731878553156e-06,1,0.004572044084429097,0.9464754144126307,0.004243548506477075,0.0032030336108303035
ncp_rachel,1.060598028127896e-06,1,0.004317322557991797,0.9479855143225715,0.004007128399164059,0.003024583535652922
vol_120,8.86172160347734e-07,1,0.0036072960317367637,0.9524488766165157,0.003348116379723988,0.002527160766716534
vol_109,2.8495214397441994e-07,1,0.0011599402285335362,0.9730244794137632,0.0010765999919291676,0.0008126184852854554
ncp_bridget,1.9438190738763016e-07,1,0.0007912605637325293,0.9777187662852281,0.0007344094941903125,0.0005543328397010186
