term,sum_sq,df,F,p_value,pct_of_model_ss,pct_of_total_ss
C(question),1.1414009978105193,6,8.007036306109896,3.402007004030125e-08,62.71636136491357,9.693702240528014
C(coder_b),0.4851190875971392,3,6.80631286397742,0.00017295776589420337,26.65575381581197,4.120024422077786
number_coded_prior_a,0.07090483592413192,1,2.984424912606593,0.08480602332437287,3.8959956412058254,0.6021813264404825
is_legacy_volume,0.05330273166130947,1,2.243542322701507,0.13492624331201963,2.9288158911901165,0.4526899926692329
number_coded_prior_b,0.03742037163258203,1,1.5750447467189752,0.21017542937318492,2.056130627378313,0.3178041205781117
C(coder_a),0.031793331935657046,3,0.44606648073610616,0.7202105029320831,1.7469426595002207,0.2700147394383933
