question,n_obs,r2,r2_adj,f_pvalue,ncp_a_coef,ncp_a_p,ncp_b_coef,ncp_b_p
Q1,65,0.6527244181068719,0.38262118774555,0.006615450734840775,0.025491595454538413,0.7781032295333115,0.048766723453908395,0.2792481584094721
Q2,65,0.784943300773727,0.6176769791532924,1.0490323925010895e-05,0.0020848783859916675,0.7834057068707995,0.0027141945618803505,0.4705727156838696
Q3,65,0.7970768264441839,0.639247691456327,4.433915775894185e-06,0.003588617899074359,0.6320400577220502,0.002582208085639442,0.4866310767089358
Q4,65,0.7926968759293099,0.6314611127632177,6.094987232210047e-06,0.0006552412738995705,0.93291160977188,0.0019162814697228077,0.619104635666225
Q5,65,0.7939667588794634,0.6337186824523795,5.5627369421085385e-06,0.002524881356791492,0.7344594962037732,0.0024762565968069745,0.5020454410125799
Q6,65,0.6625051539590645,0.4000091625938925,0.004702644491166895,0.030469284373010663,0.7292807170150624,0.04778921995160573,0.27585750361359285
Q7,45,0.622649569221216,0.33586324182934,0.035169341659535974,-0.012979526546928502,0.8724632826189093,0.04434883519549452,0.6195400077429521
