term,sum_sq,df,F,p_value,pct_of_model_ss,pct_of_total_ss
C(volume),2.358883761501191,20,6.167707352382148,2.0727661936104944e-14,58.60079363961002,20.205459061682905
C(question),1.0644417844295497,6,9.27722047627991,1.5688247499290343e-09,26.44349601653858,9.11767474508731
C(coder_b),0.4781000724882646,3,8.333832525328864,2.1818918108033287e-05,11.877246409605773,4.095255391432047
number_coded_prior_b,0.06258298205276745,1,3.2726794328789484,0.07119312200359694,1.5547236690847814,0.5360662116816179
is_legacy_volume,0.03180001266451832,1,1.6629320623410129,0.1979530327194422,0.7899948315827525,0.27238894282989806
C(coder_a),0.027247478850537635,3,0.4749548024454538,0.6998935023682085,0.6768980783961313,0.23339336487620774
number_coded_prior_a,0.002288301824848333,1,0.11966317476029159,0.7295819579701341,0.05684735518198719,0.019600876311651156
