term,coef,std_err,t,p_value,ci_low,ci_high,significance
is_alia,0.45558110629610016,0.1305236156512165,3.490411325361213,0.0013235251901408578,0.19060407933866497,0.7205581332535353,**
ncp_alia,0.0017127425077091557,0.007177703175648022,0.23861985732706548,0.8127920197106652,-0.012858769615801556,0.016284254631219866,
is_brian,0.4557222513238184,0.08650654244582498,5.268066881868687,7.125998150333392e-06,0.28010463365902427,0.6313398689886125,***
ncp_brian,0.0031453949707965084,0.0074068297919944815,0.42466143534122297,0.6736827557769327,-0.011891268913132327,0.018182058854725344,
is_bridget,0.46343745032537953,0.12989298594936383,3.567840456805276,0.0010672688171372467,0.1997406697254656,0.7271342309252935,**
ncp_bridget,0.0016582308404826523,0.007821520983037933,0.21200874408938605,0.8333300326074595,-0.014220300918159071,0.017536762599124376,
is_leah,0.46243517909749987,0.12318427954728456,3.7540113137569078,0.0006319536812527032,0.21235779655275094,0.7125125616422487,***
ncp_leah,0.0011409421104714712,0.007960966598653266,0.14331703271616303,0.886861761698587,-0.01502067929799069,0.017302563518933632,
is_rachel,0.4627234392331234,0.12935111533953608,3.577266713305968,0.0010395520860236776,0.2001267144543067,0.7253201640119402,**
ncp_rachel,0.0016063435185128816,0.006274082754031407,0.2560284238330658,0.7994277318452621,-0.011130721622945023,0.014343408659970787,
vol_109,0.013303316377951013,0.0870721522184092,0.1527849724511388,0.8794452769736104,-0.16346255017046218,0.1900691829263642,
vol_114,-0.023540165915602262,0.07333246636657803,-0.3210060575070323,0.7501148077095862,-0.17241298728454393,0.1253326554533394,
vol_119,-0.012717013842272196,0.05958709107540961,-0.2134189404577303,0.8322385459269224,-0.1336852398558365,0.1082512121712921,
vol_120,0.015618489472310593,0.1528350945969683,0.10219177417004331,0.9191877038738259,-0.2946532477838859,0.3258902267285071,
vol_122,0.015618489472309705,0.15283509459696842,0.10219177417003743,0.9191877038738305,-0.294653247783887,0.3258902267285064,
vol_124,0.009377101051490255,0.10198925219189875,0.09194205124523014,0.9272683193217215,-0.19767208841960707,0.21642629052258758,
vol_126,-0.010921531360367887,0.11577406986801832,-0.0943348659403471,0.9253811535176923,-0.245955388485241,0.22411232576450524,
vol_127,0.030302981992285538,0.1285628722515434,0.23570554594483054,0.8150349801262845,-0.2306935242442087,0.29129948822877977,
vol_130,0.05145745521475531,0.15862215070821573,0.3244027078501219,0.7475640796097635,-0.27056263053411417,0.3734775409636248,
vol_131,0.05096756363454391,0.16657836141726354,0.3059674930219468,0.7614419964766888,-0.2872044885535938,0.38913961582268164,
vol_132,0.046526693123130514,0.18106264071484335,0.2569646225165007,0.7987107208952818,-0.3210500093020163,0.41410339554827735,
vol_133,0.06942450445076531,0.24557073991249018,0.2827067446044465,0.7790669087577617,-0.4291106015918839,0.5679596104934146,
vol_134_part_2,0.07791141252394773,0.25613877176395844,0.30417656798848886,0.7627945555389396,-0.44207793876636936,0.5979007638142648,
vol_134_part_i,0.05841911036588554,0.2067607143129045,0.28254453734124796,0.7791902443157999,-0.36132745501144603,0.4781656757432171,
vol_61,0.0723636246020054,0.23124492712884737,0.3129306467409991,0.7561904778471775,-0.39708853532994043,0.5418157845339513,
vol_62,0.06458582261171975,0.19555637125419714,0.33026703347735376,0.7431670361009433,-0.33241471709129333,0.4615863623147328,
vol_63,0.07236362460200851,0.23124492712884745,0.3129306467410124,0.7561904778471675,-0.3970885353299375,0.5418157845339545,
vol_91,-0.008749399699574001,0.031329112683812776,-0.2792737792441427,0.7816784243946211,-0.07235087974403069,0.05485208034488269,
vol_93,-0.016813976580107082,0.04591517182903193,-0.3661965296071415,0.7164227678474735,-0.1100267309372016,0.07639877777698743,
vol_94,-0.047605292370366675,0.020073102417897837,-2.3715961478839582,0.02334377442855467,-0.0883558567335222,-0.006854728007211146,*
