term,sum_sq,df,F,p_value,pct_of_model_ss,pct_of_total_ss
is_brian,0.007590399237977784,1,29.96289052032714,3.815733693051665e-06,32.02573369869451,23.30676056312223
is_leah,0.003782898130176899,1,14.932885474182012,0.00046141389143756784,15.960963887139524,11.615607847553092
is_rachel,0.003466370884961965,1,13.683402950572026,0.0007382531797842796,14.625458738356924,10.643692605069146
is_bridget,0.003440263167678672,1,13.580343460528209,0.0007679219280697625,14.51530395268872,10.563527346761402
is_alia,0.0032462928510682294,1,12.8146510142452,0.0010323501580112656,13.696896183814562,9.967930253136451
vol_94,0.001322524473531662,1,5.220628687436435,0.0284942715946846,5.5800512293758135,4.060888008268155
ncp_brian,9.27912171873549e-05,1,0.36629075687108814,0.5489375158041011,0.39150863058050006,0.2849208076599834
vol_130,6.550499328288742e-05,1,0.25857914461859366,0.6142884693261313,0.27638143990057473,0.20113687650241824
vol_62,5.961006598187072e-05,1,0.23530908255625765,0.6306373683570227,0.2515093131524932,0.18303616073843262
vol_63,5.486398583508251e-05,1,0.21657406277924793,0.644545595455128,0.23148445093797357,0.16846304671287177
vol_61,5.4863985835078216e-05,1,0.21657406277923097,0.6445455954551409,0.23148445093795547,0.16846304671285858
vol_131,5.3853355739989774e-05,1,0.21258462850228635,0.6476015782667711,0.22722035766981113,0.16535984846127527
vol_134_part_2,5.249552458445337e-05,1,0.20722462766664312,0.6517628877434017,0.22149133899350434,0.16119054924063694
vol_134_part_i,4.676786877687587e-05,1,0.1846148651864442,0.6700706824469891,0.1973249712096501,0.14360345028709753
vol_133,4.592423355293879e-05,1,0.18128463853282584,0.672878479481215,0.1937654697692693,0.14101301946120126
vol_132,4.521967269617009e-05,1,0.17850340408725895,0.6752469316301031,0.19079275678462138,0.1388496245361102
ncp_alia,4.274640919011146e-05,1,0.16874026497737224,0.683737980849212,0.18035745872870046,0.13125532566750758
ncp_rachel,3.850581217166553e-05,1,0.1520006258331245,0.6989932814486088,0.16246535232186946,0.11823432686956548
vol_127,3.747673965299245e-05,1,0.1479383906004632,0.7028406047327134,0.15812344599963374,0.11507450008801763
vol_120,2.6242325140947817e-05,1,0.10359085082941315,0.7494767775891081,0.11072272883797032,0.08057857953234893
ncp_bridget,2.6217282735128532e-05,1,0.10349199662683385,0.7495921639512759,0.11061706885951618,0.08050168537460366
vol_122,2.4379533769808072e-05,1,0.09623753354454524,0.7582321123138588,0.10286316064953321,0.07485877071794843
vol_109,2.323962611985059e-05,1,0.0917377797044483,0.763772380678111,0.09805361405072098,0.07135861824524287
ncp_leah,1.8405323445321495e-05,1,0.0726545039454738,0.7890931478334283,0.07765651961348519,0.056514611837626176
vol_93,1.6394084389723778e-05,1,0.06471519354246323,0.8006815957847538,0.06917061467231812,0.05033898580869749
vol_124,1.624638561159346e-05,1,0.06413215671128282,0.801561847529131,0.06854743773686034,0.04988546815443163
vol_114,5.3276590027119e-06,1,0.02103078618436686,0.8855270383745134,0.022478684336472456,0.016358885592854533
vol_119,2.228195174128029e-06,1,0.008795738665006806,0.9258143108411002,0.00940129537828526,0.006841802358889097
vol_91,1.8174917083283277e-06,1,0.0071744981220187316,0.9329806373386191,0.007668437933972973,0.005580713575581793
vol_126,1.0673269112265138e-06,1,0.004213243386522979,0.9486153884822502,0.0045033108742639945,0.003277289109915193
