term,sum_sq,df,F,p_value,pct_of_model_ss,pct_of_total_ss
is_brian,0.007262568654510804,1,28.7823497182148,5.311498331528697e-06,31.758427923046877,22.910591326762418
is_leah,0.003507745834430887,1,13.901578371516488,0.0006793940218429585,15.338993482140793,11.065579564729434
is_rachel,0.003168169592121743,1,12.555800778616419,0.001142440069591129,13.854063269597352,9.994348037439108
is_bridget,0.003159913019234302,1,12.52307908197915,0.0011572229968310381,13.817958168577162,9.968301747733289
is_alia,0.0029918619301055873,1,11.857074332430194,0.0015069415907368476,13.083088915648453,9.4381656473807
vol_94,0.0011106060046789197,1,4.40145242633457,0.04319644783690157,4.856560044852938,3.503531809292209
ncp_brian,0.00016531631739215275,1,0.6551665516239916,0.42374032504277864,0.7229103916479077,0.5215089546953244
vol_130,0.00012526689687711404,1,0.49644634089528,0.48572807891826164,0.5477786035309491,0.3951685440303168
vol_131,0.00010985047490437554,1,0.4353493833680925,0.5136944391573763,0.4803642561638644,0.3465357034555211
vol_132,0.00010570451558350839,1,0.41891849551458155,0.5216999869608853,0.4622344240717625,0.33345680751988377
vol_62,0.00010222576576787076,1,0.4051318315202015,0.5285918577533143,0.4470222270464551,0.3224826991643474
vol_134_part_i,0.0001019814656133764,1,0.40416364342899447,0.5290820534179157,0.445953928870261,0.32171202679387567
vol_63,9.614647372426148e-05,1,0.38103893574707237,0.5410431541505248,0.4204381398763872,0.30330488726432997
vol_61,9.614647372425836e-05,1,0.38103893574706005,0.5410431541505314,0.4204381398763735,0.3033048872643201
vol_133,9.404220623229236e-05,1,0.3726994947399421,0.5454806131302868,0.41123640552403723,0.29666673830573076
vol_134_part_2,9.305660857945064e-05,1,0.368793464012381,0.547582630124033,0.4069264934931945,0.293557559431002
ncp_alia,7.933542886844672e-05,1,0.31441493600448434,0.5785558002192936,0.34692525734647145,0.2502725516280637
ncp_rachel,7.394977315338958e-05,1,0.29307099646645346,0.5916888095961308,0.3233743668858692,0.2332828937006747
vol_127,7.324505766676586e-05,1,0.29027813232254646,0.5934529553313611,0.32029272221538563,0.2310597892752661
vol_122,7.158990054484984e-05,1,0.2837185645734703,0.5976400471538292,0.3130548989797953,0.22583840959464227
vol_120,6.849083083518405e-05,1,0.27143661414683634,0.605650610578538,0.2995030020291498,0.21606204492410633
ncp_bridget,5.427986339948011e-05,1,0.21511700409887538,0.645657719541676,0.23735997708944684,0.17123194654353927
vol_109,5.023076058572106e-05,1,0.19906996912066066,0.658220794942526,0.2196536880364816,0.15845859537549775
ncp_leah,4.9121584221720886e-05,1,0.19467418251587554,0.6617682119170633,0.2148033796558279,0.15495957352885004
vol_124,3.391769904405817e-05,1,0.13441953143078406,0.7161002470917655,0.14831843272659212,0.10699720422744557
vol_126,1.6859263982493728e-05,1,0.06681509738767806,0.7975457880569121,0.07372373956025792,0.05318444830576772
vol_91,6.34620516046015e-06,1,0.025150701494360904,0.8749036675265681,0.027751269387059255,0.020019819408769065
vol_93,1.0924826563424994e-07,1,0.00043296276251246165,0.9835171836630143,0.0004777308601011648,0.00034463596644271284
vol_114,7.76689093439041e-08,1,0.0003078103378176119,0.9861018477681064,0.00033963774755203194,0.0002450153279677886
vol_119,6.1935020553993015e-09,1,2.454552247547634e-05,0.9960751533510418,2.7083515209935124e-05,1.9538100253907262e-05
