term,coef,std_err,t,p_value,ci_low,ci_high,significance
is_alia,0.42046689377769453,0.12210769557290918,3.443410276518062,0.0015069415907368476,0.1725750928947523,0.6683586946606368,**
ncp_alia,0.0037652257364802627,0.0067148982190838,0.5607271493377901,0.5785558002192934,-0.009866742375475869,0.017397193848436396,
is_brian,0.43417620331221807,0.08092876141484129,5.3649184260541,5.311498331528697e-06,0.26988208314046835,0.5984703234839678,***
ncp_brian,0.005608699379150664,0.006929251177181797,0.8094235922086727,0.42374032504277864,-0.008458428372484124,0.019675827130785452,
is_bridget,0.43002648224110285,0.12151772770181656,3.538796275851317,0.0011572229968310381,0.18333237981067874,0.676720584671527,**
ncp_bridget,0.003393770925485304,0.007317203851186877,0.46380707637861174,0.645657719541676,-0.011460942625433117,0.018248484476403724,
is_leah,0.4296761852243727,0.11524158621626242,3.728482046559496,0.0006793940218429585,0.1957233273825929,0.6636290430661524,***
ncp_leah,0.0032860481375722173,0.007447658272753273,0.44121897343141936,0.6617682119170633,-0.011833501968843458,0.018405598243987895,
is_rachel,0.4287916557615763,0.12101079590150877,3.5434165403768745,0.001142440069591129,0.18312667959803922,0.6744566319251134,**
ncp_rachel,0.003177536900574901,0.005869541562315481,0.5413603203657001,0.5916888095961307,-0.008738265960276662,0.015093339761426464,
vol_109,0.03634428198747908,0.08145790172082493,0.4461725777327206,0.658220794942526,-0.12902405011460485,0.201712614089563,
vol_114,-0.0012036267524511146,0.06860412526901413,-0.017544524439767867,0.9861018477681064,-0.1404774053717564,0.13807015186685417,
vol_119,-0.0002761800249716506,0.055745026222337235,-0.004954343798675698,0.9960751533510418,-0.11344459971946173,0.11289223966951843,
vol_120,0.07449227610854514,0.1429805718359247,0.5209957909108637,0.6056506105785381,-0.21577371636133325,0.36475826857842353,
vol_122,0.07615894277521118,0.14298057183592477,0.5326523862459177,0.5976400471538292,-0.21410704969466737,0.36642493524508973,
vol_124,0.034981589213234576,0.09541317482068205,0.36663269280137045,0.7161002470917655,-0.15871745344976806,0.22868063187623722,
vol_126,0.027996422761160655,0.10830917308065653,0.2584861647896809,0.7975457880569121,-0.1918828882121188,0.2478757337344401,
vol_127,0.06480024772555382,0.12027337726239247,0.5387746582037304,0.5934529553313611,-0.17936768901227365,0.30896818446338126,
vol_130,0.1045571966568466,0.14839448932794258,0.7045894839516695,0.48572807891826164,-0.19669963263647056,0.40581402595016375,
vol_131,0.10282328914754668,0.15583769836201042,0.6598101115988543,0.5136944391573763,-0.21354405781745617,0.41919063611254953,
vol_132,0.10963457999760262,0.16938805825847547,0.647239133176125,0.5216999869608852,-0.23424146002385943,0.45351062001906467,
vol_133,0.14025228977138937,0.22973679514806586,0.6104911913696561,0.5454806131302868,-0.32613819946952405,0.6066427790123028,
vol_134_part_2,0.14551939149762294,0.23962341995297617,0.607283676721498,0.547582630124033,-0.3409420131433754,0.6319807961386212,
vol_134_part_i,0.12297039991250669,0.19342916784670056,0.6357386596935839,0.5290820534179157,-0.2697116872879464,0.5156524871129597,
vol_61,0.1335398338662963,0.21633468413932716,0.6172835132636058,0.5410431541505312,-0.30564292356048545,0.572722591293078,
vol_62,0.11644587084766078,0.18294725999821596,0.6364996712648023,0.5285918577533144,-0.25495681212639426,0.4878485538217158,
vol_63,0.13353983386629853,0.21633468413932727,0.6172835132636156,0.5410431541505248,-0.3056429235604835,0.5727225912930806,
vol_91,-0.004648117367647475,0.02930906974249701,-0.15858972695089965,0.8749036675265681,-0.06414869222153288,0.05485245748623794,
vol_93,-0.0008937898664499455,0.04295464691124646,-0.020807757267722573,0.9835171836630143,-0.08809635911616549,0.0863087793832656,
vol_94,-0.039397298781237516,0.018778826092270086,-2.0979638763178383,0.04319644783690157,-0.07752034251438943,-0.0012742550480856069,*
