term,coef,std_err,t,p_value,ci_low,ci_high,significance
is_alia,-0.0778228496018639,0.2783055963917949,-0.27963091871248585,0.7821565053745587,-0.652217369687919,0.49657167048419115,
ncp_alia,0.03093255614095669,0.020780510771195134,1.488536854629858,0.14963278249331502,-0.011956310149608615,0.073821422431522,
is_brian,0.5471839504333497,0.13722862087555504,3.987389415867993,0.0005439651931138242,0.26395799719409413,0.8304099036726051,***
ncp_brian,-0.0021381312159351445,0.019096903540586928,-0.11196219383896154,0.9117845450491951,-0.041552202964901634,0.03727594053303134,
is_bridget,-0.20297488440313216,0.29678593076760035,-0.6839100623070729,0.5005826671169955,-0.815510940025817,0.4095611712195527,
ncp_bridget,0.0374124591966863,0.025171441697993645,1.4863057764255259,0.15021788703227548,-0.014538843117906465,0.08936376151127906,
is_leah,0.04625575661173625,0.27485006914077065,0.16829450600591014,0.867761826269682,-0.5210069057512634,0.6135184189747358,
ncp_leah,0.025594277378504296,0.02529710531245542,1.0117472755233603,0.3217509908246634,-0.026616381889225105,0.0778049366462337,
is_rachel,0.3702517578146661,0.27269233415599753,1.3577637191768595,0.18716850523769218,-0.19255755841688582,0.9330610740462181,
ncp_rachel,0.007050244554332693,0.019874932650332976,0.35473048781448707,0.7258896670470592,-0.033969600355143396,0.048070089463808786,
vol_109,0.15845407925208935,0.12705091517641667,1.2471699163447014,0.22436905377881972,-0.10376612183404119,0.42067428033821985,
vol_114,-0.2959436827660108,0.1301749139030414,-2.2734309852237695,0.03223520208263836,-0.5646115003305499,-0.02727586520147174,*
vol_119,-0.3329991387073397,0.13776812714168432,-2.417098538073866,0.02360804851919368,-0.6173385781532488,-0.048659699261430656,*
vol_120,0.0012502219789240355,0.2347912395305142,0.005324823794209548,0.9957954398479856,-0.48333507957096516,0.48583552352881326,
vol_122,-0.03041644468774479,0.23479123953051423,-0.12954676140628224,0.8980046428204362,-0.5150017462376341,0.4541688568621445,
vol_124,0.00751217746091853,0.12697966696675114,0.05916047537662505,0.953314146132593,-0.2545609745477647,0.2695853294696018,
vol_126,0.25393429085012026,0.12362067298415114,2.054140984030042,0.051008509798051854,-0.0012062383093576767,0.5090748200095983,
vol_127,0.2565674085114228,0.11497452912488226,2.231515192662769,0.03524678937086337,0.01927164322671887,0.4938631737961267,*
vol_130,0.20686901150058218,0.13100058292712904,1.5791457326236178,0.1273935501888322,-0.06350290317515223,0.4772409261763166,
vol_131,1.0132280381345112e-17,5.040380211849481e-18,2.010221442724704,0.05577536859816691,-2.705530879493895e-19,2.0535113850639613e-17,
vol_132,3.074873560804318e-18,1.5296193222556406e-18,2.010221442724704,0.05577536859816691,-8.210555823753243e-20,6.2318526798461686e-18,
vol_133,-9.95271117097254e-18,4.951052137560721e-18,-2.0102214427247036,0.05577536859816711,-2.017118055622947e-17,2.657582142843885e-19,
vol_134_part_2,0.0,0.0,,,0.0,0.0,
vol_134_part_i,0.0,0.0,,,0.0,0.0,
vol_61,0.0,0.0,,,0.0,0.0,
vol_62,0.0,0.0,,,0.0,0.0,
vol_63,0.0,0.0,,,0.0,0.0,
vol_91,0.05928919356026317,0.14401370064323876,0.4116913411394009,0.684219284929483,-0.2379404760520462,0.3565188631725726,
vol_93,0.08074073155517071,0.15103168897670147,0.5345946410466613,0.597848463364045,-0.23097335408409464,0.39245481719443603,
vol_94,0.03284245579123398,0.1594683659403287,0.2059496602826122,0.8385672694595113,-0.2962840752981819,0.3619689868806498,
