term,sum_sq,df,F,p_value,pct_of_model_ss,pct_of_total_ss
is_brian,0.7942490115157071,1,15.899274353776093,0.0005439651931138242,26.14839524508752,18.748256459222674
vol_119,0.29185564039894346,1,5.842365342758822,0.023608048519193684,9.608518901516799,6.8892555306149745
vol_114,0.2581920876885494,1,5.16848844457552,0.032235202082638297,8.500241939427294,6.094627006824174
vol_127,0.24875915645143773,1,4.979660055084755,0.035246789370863445,8.18968944174521,5.8719625635180535
vol_126,0.2107850838374148,1,4.21949518227191,0.051008509798051854,6.939500841721389,4.975584171041115
vol_132,0.2018678613394673,1,4.040990248790191,0.05577536859816691,6.645926591097211,4.765093038069572
vol_131,0.2018678613394672,1,4.040990248790189,0.05577536859816711,6.645926591097208,4.765093038069569
vol_133,0.20186786133946713,1,4.040990248790188,0.05577536859816711,6.645926591097207,4.765093038069568
vol_130,0.12457296507232295,1,2.4937012448633817,0.12739355018883228,4.101211434116044,2.9405461803530515
ncp_alia,0.11068749606898459,1,2.2157419675913514,0.14963278249331502,3.6440717633095128,2.6127795351867245
ncp_bridget,0.11035593909325686,1,2.209104861035885,0.15021788703227548,3.6331561905837124,2.604953129208673
is_rachel,0.09209324560943721,1,1.843522317112977,0.1871685052376922,3.031908822905551,2.173862053102179
vol_109,0.0777017200016142,1,1.55543280023525,0.22436905377881966,2.55810867419021,1.8341499363441964
ncp_leah,0.05113561301780875,1,1.0236325495289424,0.3217509908246634,1.6834949756346822,1.2070566952647501
is_bridget,0.023365623075014445,1,0.46773297332486435,0.5005826671169955,0.7692468463350833,0.5515457839902377
vol_93,0.014276724579605797,1,0.28579143023580866,0.597848463364045,0.470020650577046,0.3370022372521948
vol_91,0.008466869093510965,1,0.16948976036915864,0.684219284929483,0.278747642534727,0.1998605360161289
ncp_rachel,0.0062860294561510885,1,0.12583371898510395,0.7258896670470592,0.20694968499617786,0.1483817929206425
is_alia,0.0039061575732051157,1,0.0781934506999889,0.7821565053745587,0.12859915546994588,0.09220489152744273
vol_94,0.002118856472328019,1,0.04241526257052337,0.8385672694595113,0.06975733768974189,0.05001562981826128
is_leah,0.0014148788567116173,1,0.02832304075177333,0.867761826269682,0.04658087203484202,0.03339823063013857
vol_122,0.0008383637666406579,1,0.016782363390856214,0.8980046428204362,0.027600748394317285,0.01978958572841501
ncp_brian,0.0006262131436181869,1,0.0125355328492332,0.9117845450491951,0.02061629104926281,0.014781767990223847
vol_124,0.00017484076161589397,1,0.0034999618467882582,0.953314146132593,0.005756136014522581,0.004127118058409785
vol_120,1.416412860716138e-06,1,2.8353748439380168e-05,0.9957954398479856,4.663137476438424e-05,3.343444081116397e-05
vol_134_part_2,,1,,,,
vol_134_part_i,,1,,,,
vol_61,,1,,,,
vol_62,,1,,,,
vol_63,,1,,,,
