term,sum_sq,df,F,p_value,pct_of_model_ss,pct_of_total_ss
ncp_rachel,0.09268247315960844,1,2.787219356914913,0.1039408210073208,4.493809308367781,2.872725032703828
vol_62,0.09149934387484633,1,2.7516393736472784,0.1060912634774288,4.43644401359721,2.836053534874805
vol_134_part_2,0.09042564815556225,1,2.7193503616021246,0.10808688786932213,4.384384722846905,2.8027739679281765
vol_63,0.09016277162145493,1,2.71144493418565,0.10858200273567198,4.371638871601777,2.794626019623646
vol_131,0.08992684534077253,1,2.7043499757333596,0.10902856877458045,4.360199732354883,2.787313403664187
ncp_leah,0.08853578416244152,1,2.662516902977304,0.11170475120175093,4.292752636279579,2.744196985502447
vol_132,0.08797556267071939,1,2.6456694869270367,0.11280373586826391,4.265589695235557,2.726832728288924
ncp_alia,0.08741527460200953,1,2.628820068721857,0.11391527504401729,4.238423526134741,2.70946640749884
vol_61,0.08731930900178551,1,2.6259341166165253,0.11410691680479948,4.233770530882584,2.7064919208171214
vol_133,0.08731815043679406,1,2.625899275349775,0.11410923270069677,4.233714356613972,2.706456010697986
vol_134_part_i,0.08263257517058917,1,2.4849910147581755,0.12393394167310769,4.006529204680566,2.5612249988251734
vol_126,0.07949471450049536,1,2.3906268302383458,0.1310599177380835,3.8543866581243753,2.4639659315084015
ncp_bridget,0.07948097022007615,1,2.3902135015568238,0.13109215850668116,3.8537202519185514,2.4635399228244426
vol_127,0.07647953858514467,1,2.299952117002148,0.1383589209605762,3.708192613739786,2.370509520228599
vol_130,0.07463290962688698,1,2.2444188559439127,0.14306295784803286,3.618656824298462,2.313272622532018
vol_109,0.07224515347985634,1,2.172612397551985,0.14942566710262975,3.502883901610476,2.239263302088498
vol_122,0.06565920083274883,1,1.9745545115681769,0.16877959848697482,3.1835569102053816,2.0351294417310357
vol_120,0.0653748321453188,1,1.9660027554153119,0.169680083634434,3.169768988810786,2.026315336765466
vol_93,0.06523764225666469,1,1.9618770744726888,0.17011655558058134,3.1631171896341916,2.022063089129693
vol_91,0.06340025868431517,1,1.906621847844124,0.17609326505888603,3.074029672663781,1.9651127553392096
vol_124,0.05974170798696797,1,1.7965990681936488,0.1887606037381042,2.8966409105991175,1.8517147221038848
is_bridget,0.057227931972809544,1,1.721002842426723,0.19810391757374038,2.774757779231624,1.7737993726715557
ncp_brian,0.05648945642337782,1,1.6987948318308053,0.2009547216081876,2.7389519986465136,1.7509100698231206
is_leah,0.05638039623793032,1,1.6955150891827586,0.2013799568333195,2.733664098358265,1.7475297119827897
is_alia,0.05487454150718066,1,1.650229855511669,0.20736517438895705,2.660651113536,1.7008552283057046
is_rachel,0.05214292429347173,1,1.5680825399062677,0.21878912643390527,2.528205717514646,1.6161878162042527
vol_94,0.04402525722805888,1,1.3239617476314907,0.25768311481671086,2.134611906547151,1.3645779422876614
vol_114,0.02647403267265091,1,0.7961476836482188,0.3783414433966259,1.2836219233113744,0.8205717195782327
is_brian,0.019676559696008216,1,0.5917287939410185,0.44691177792823633,0.9540391414275635,0.6098817140849464
vol_119,0.017516076690310578,1,0.5267570700704639,0.47279900213528503,0.8492858012263916,0.5429168025799346
